player_feb_id,season_id,games,avg_min,avg_ast,avg_trb,avg_tov,avg_2pa,avg_3pa,fg2_pct,fg3_pct
1596008,2024-2025,26,29.691025641025643,1.7692307692307692,4.461538461538462,1.6538461538461537,5.384615384615385,6.730769230769231,0.47366244866244867,0.2459124209124209
2112479,2024-2025,13,5.7987179487179485,0.07692307692307693,0.8461538461538461,0.3076923076923077,0.7692307692307693,0.5384615384615384,0.7857142857142857,0.16666666666666666
2223407,2023-2024,20,15.030833333333334,0.5,1.95,0.9,2.45,0.55,0.3345679012345679,0.16666666666666666
2116663,2024-2025,24,14.752083333333333,0.6666666666666666,0.8333333333333334,0.8333333333333334,1.7083333333333333,2.1666666666666665,0.312280701754386,0.3027777777777778
2535385,2024-2025,24,24.34166666666667,1.25,2.4583333333333335,1.625,3.875,4.333333333333333,0.32207341269841266,0.21785714285714286
1917160,2023-2024,20,25.2125,0.75,5.9,1.85,5.85,2.95,0.49584415584415586,0.29298245614035084
2024493,2023-2024,19,15.326315789473684,0.9473684210526315,2.3684210526315788,1.0526315789473684,2.4210526315789473,1.5789473684210527,0.4842592592592593,0.15
1360283,2023-2024,17,16.784313725490193,0.47058823529411764,3.235294117647059,0.7647058823529411,1.411764705882353,0.7647058823529411,0.2692307692307692,0.375
2108819,2023-2024,29,16.438505747126438,0.6206896551724138,3.896551724137931,0.8620689655172413,3.5517241379310347,1.2758620689655173,0.39671592775041054,0.26587301587301587
1950104,2023-2024,25,14.740666666666666,0.6,3.44,0.8,3.08,1.64,0.4300595238095238,0.11666666666666665
1622322,2024-2025,24,24.726388888888888,2.2083333333333335,6.875,2.125,3.9583333333333335,3.0833333333333335,0.47271825396825395,0.25496894409937887
1457431,2023-2024,13,17.107692307692307,1.6153846153846154,1.3846153846153846,0.9230769230769231,2.076923076923077,3.8461538461538463,0.29393939393939394,0.32242063492063494
1792458,2024-2025,12,13.588888888888889,0.9166666666666666,1.75,1.0,0.9166666666666666,2.5833333333333335,0.6944444444444445,0.3352380952380952
1708138,2024-2025,24,28.95555555555556,1.9583333333333333,3.125,2.375,5.625,4.333333333333333,0.40395171957671955,0.2619543650793651
2375803,2025,12,34.34722222222222,4.666666666666667,3.1666666666666665,3.4166666666666665,8.083333333333334,6.416666666666667,0.5269510582010583,0.3014880952380952
2337002,2025,9,17.44074074074074,0.7777777777777778,2.4444444444444446,0.5555555555555556,2.111111111111111,2.5555555555555554,0.5222222222222223,0.1251700680272109
2138600,2023-2024,20,14.905833333333334,2.75,2.55,2.3,3.55,1.8,0.36470238095238094,0.3157894736842105
1778241,2023-2024,23,11.422463768115941,1.6956521739130435,0.9565217391304348,0.9130434782608695,0.6521739130434783,0.4782608695652174,0.525,0.3125
2161580,2024-2025,26,20.352564102564102,0.7692307692307693,4.961538461538462,0.6923076923076923,3.1923076923076925,4.038461538461538,0.4770952380952381,0.2824175824175824
1951623,2023-2024,25,23.086,1.0,6.56,1.6,4.6,3.28,0.5313492063492063,0.28878968253968257
1656705,2024-2025,19,18.82894736842105,1.2105263157894737,2.4210526315789473,0.7368421052631579,2.0,6.052631578947368,0.21222222222222223,0.22971458366195208
2536178,2024-2025,16,19.604166666666668,3.25,3.375,2.9375,3.875,2.4375,0.3283333333333333,0.23809523809523808
1860866,2024-2025,8,10.45625,0.5,2.875,0.75,1.75,0.0,0.8571428571428571,
2432349,2023-2024,21,31.479365079365078,5.380952380952381,5.0,2.619047619047619,5.857142857142857,5.095238095238095,0.436885865457294,0.26886724386724387
1406668,2024-2025,18,17.514814814814812,2.611111111111111,2.7222222222222223,2.388888888888889,4.611111111111111,2.0,0.23564814814814813,0.14064625850340137
2161119,2024-2025,25,17.326,0.8,2.64,1.68,2.92,3.04,0.42023809523809524,0.19419642857142858
2054346,2025,11,13.77878787878788,0.45454545454545453,4.454545454545454,1.0,5.363636363636363,0.0,0.611038961038961,
2745467,2024-2025,25,26.59466666666667,2.6,3.96,2.12,3.56,5.92,0.39212962962962966,0.29663858363858364
1807111,2024-2025,22,14.912878787878787,1.0909090909090908,2.090909090909091,1.4090909090909092,3.3636363636363638,1.0,0.5753759398496241,0.12380952380952381
2679122,2023-2024,24,25.469444444444445,0.9583333333333334,4.125,1.125,5.083333333333333,6.583333333333333,0.4403209109730849,0.3291170634920635
2045029,2024-2025,26,30.319871794871794,1.9615384615384615,5.115384615384615,2.6923076923076925,5.769230769230769,6.230769230769231,0.40088522588522585,0.2816239316239316
2089648,2025,11,30.087878787878786,5.2727272727272725,6.181818181818182,1.1818181818181819,6.818181818181818,1.1818181818181819,0.4374819624819625,0.16666666666666666
1294436,2023-2024,13,15.892307692307693,0.3076923076923077,1.2307692307692308,0.6923076923076923,3.0,4.0,0.3076923076923077,0.25277777777777777
2068048,2023-2024,24,21.675694444444446,1.0833333333333333,2.75,1.5416666666666667,3.5833333333333335,3.9166666666666665,0.3520833333333333,0.19334650856389987
2221548,2024-2025,19,11.549122807017545,0.7368421052631579,3.0,0.8421052631578947,1.894736842105263,0.3157894736842105,0.4680555555555555,0.5
2433692,2023-2024,24,26.318055555555556,0.75,10.0,2.0,7.541666666666667,1.7083333333333333,0.5509373728123729,0.19035087719298247
2008018,2023-2024,26,17.555128205128206,2.576923076923077,1.8846153846153846,2.0384615384615383,3.8846153846153846,2.5384615384615383,0.4595324675324675,0.23863636363636365
1780794,2025,8,11.172916666666666,1.0,2.375,1.125,1.625,1.25,0.74,0.06666666666666667
2371362,2023-2024,23,5.5724637681159415,0.2608695652173913,0.391304347826087,0.21739130434782608,0.6956521739130435,0.13043478260869565,0.26666666666666666,0.6666666666666666
2645377,2024-2025,19,19.739473684210527,1.105263157894737,5.2105263157894735,1.7894736842105263,3.0,0.8947368421052632,0.703042328042328,0.2727272727272727
2047293,2024-2025,24,20.952083333333334,2.2083333333333335,1.8333333333333333,2.0833333333333335,2.2916666666666665,3.5,0.3484848484848485,0.17210144927536233
1947502,2023-2024,23,20.752173913043478,0.2608695652173913,3.347826086956522,0.391304347826087,1.2173913043478262,4.695652173913044,0.4509803921568627,0.3096790890269151
2024385,2025,11,13.77121212121212,0.5454545454545454,4.636363636363637,1.0,4.090909090909091,1.0,0.36666666666666664,0.40476190476190477
2280219,2025,12,27.147222222222222,1.75,6.583333333333333,1.3333333333333333,8.166666666666666,1.25,0.4607360232360232,0.35
