player_feb_id,season_id,games,avg_min,avg_ast,avg_trb,avg_tov,avg_2pa,avg_3pa,fg2_pct,fg3_pct,cluster,cluster_name
1391138,2023-2024,26,30.79615384615385,1.0384615384615383,5.461538461538462,1.9230769230769231,9.846153846153848,1.1538461538461535,0.5377671473825321,0.3070175438596491,1,Interiors físics
2648495,2024-2025,21,22.084126984126986,1.0952380952380951,2.380952380952381,1.809523809523809,4.428571428571429,3.1904761904761907,0.6545815295815296,0.2216666666666666,1,Interiors físics
1587138,2023-2024,30,21.85111111111111,2.433333333333333,1.6,1.3333333333333333,3.733333333333333,3.533333333333333,0.4837566137566138,0.320607553366174,1,Interiors físics
2010199,2025,12,25.13888888888889,1.5833333333333333,4.833333333333333,1.4166666666666667,8.583333333333334,2.0,0.4655397842897843,0.1818181818181818,1,Interiors físics
2095120,2025,12,18.21527777777778,0.75,2.1666666666666665,1.0833333333333333,1.6666666666666667,1.4166666666666667,0.3041666666666666,0.3125,0,Jugadors equilibrats
2645673,2024-2025,8,15.372916666666669,1.0,2.875,0.875,2.625,3.25,0.2916666666666666,0.2857142857142857,0,Jugadors equilibrats
1998643,2024-2025,15,7.214444444444444,0.4,0.7333333333333333,0.4,1.2,0.4666666666666667,0.4523809523809524,0.3,0,Jugadors equilibrats
1899446,2023-2024,23,17.20072463768116,0.8695652173913043,1.7826086956521738,1.4782608695652173,3.347826086956522,3.260869565217391,0.336489898989899,0.1439393939393939,0,Jugadors equilibrats
1799377,2023-2024,23,20.33913043478261,0.9565217391304348,4.130434782608695,2.0,4.043478260869565,3.130434782608696,0.3846500721500721,0.318611111111111,1,Interiors físics
1900426,2023-2024,23,25.694202898550724,1.4782608695652173,3.8260869565217392,1.4782608695652173,4.130434782608695,1.4782608695652173,0.5094202898550725,0.1842105263157894,1,Interiors físics
2138342,2025,12,17.974999999999998,1.75,4.583333333333333,0.9166666666666666,2.9166666666666665,1.1666666666666667,0.4361111111111111,0.0,0,Jugadors equilibrats
2649630,2023-2024,18,18.61388888888889,0.4444444444444444,5.222222222222222,1.6111111111111112,5.833333333333333,0.0555555555555555,0.5809651133180544,0.0,0,Jugadors equilibrats
1960039,2023-2024,23,20.403623188405795,1.0869565217391304,2.782608695652174,1.3043478260869563,4.478260869565218,2.391304347826087,0.4532091097308489,0.2777777777777778,0,Jugadors equilibrats
1509827,2024-2025,23,22.10507246376812,1.0869565217391304,4.043478260869565,0.8695652173913043,2.4782608695652173,4.391304347826087,0.4825396825396825,0.2038647342995169,0,Jugadors equilibrats
1840589,2024-2025,10,6.955,0.2,0.6,0.5,0.8,1.7,0.5,0.3148148148148147,0,Jugadors equilibrats
2211585,2024-2025,19,12.569298245614036,0.5263157894736842,1.4210526315789471,1.6842105263157894,3.3684210526315788,1.5263157894736843,0.3998366013071895,0.1845238095238095,0,Jugadors equilibrats
1710836,2023-2024,26,26.671794871794877,1.5769230769230769,5.653846153846154,2.4615384615384617,4.807692307692308,2.6153846153846154,0.4374542124542124,0.1034722222222222,1,Interiors físics
2037802,2024-2025,25,13.713333333333331,0.92,0.92,0.92,1.52,1.04,0.5622807017543859,0.2395833333333333,0,Jugadors equilibrats
2024517,2025,11,7.316666666666666,0.2727272727272727,0.7272727272727273,0.3636363636363636,1.0,0.3636363636363636,0.32,0.0,0,Jugadors equilibrats
2237878,2024-2025,16,20.125,0.125,3.25,1.75,3.8125,2.9375,0.4767857142857142,0.221875,0,Jugadors equilibrats
2822746,2025,11,15.71818181818182,0.2727272727272727,3.272727272727273,0.9090909090909092,2.909090909090909,1.181818181818182,0.5074074074074074,0.125,0,Jugadors equilibrats
1858549,2025,9,28.211111111111112,2.4444444444444446,3.111111111111111,3.6666666666666665,5.555555555555555,5.777777777777778,0.6308201058201058,0.3182098765432098,1,Interiors físics
2284271,2023-2024,24,15.058333333333332,1.25,1.9166666666666667,1.375,2.5416666666666665,4.0,0.495,0.3590277777777778,0,Jugadors equilibrats
1934555,2023-2024,26,17.359615384615385,0.8076923076923077,4.615384615384615,1.3461538461538465,3.769230769230769,0.4230769230769231,0.6269230769230769,0.0625,0,Jugadors equilibrats
1942028,2025,11,27.05,2.363636363636364,1.6363636363636365,3.1818181818181817,7.545454545454546,4.636363636363637,0.516025641025641,0.2257575757575757,1,Interiors físics
1371069,2023-2024,15,10.741111111111111,1.0,2.066666666666667,1.4,2.333333333333333,1.6666666666666667,0.3064102564102564,0.3863636363636363,0,Jugadors equilibrats
2006394,2024-2025,26,20.9275641025641,1.0769230769230769,6.0,1.8461538461538465,5.5,1.3076923076923077,0.4808730158730159,0.2023809523809523,1,Interiors físics
1825268,2024-2025,26,22.121153846153845,2.230769230769231,2.230769230769231,2.8846153846153846,2.730769230769231,1.7307692307692308,0.2923611111111111,0.0592592592592592,1,Interiors físics
2034509,2023-2024,29,21.204022988505745,1.1724137931034482,4.206896551724138,1.862068965517241,4.172413793103448,1.2758620689655171,0.5026815776815776,0.3253968253968254,1,Interiors físics
2029762,2024-2025,22,19.21590909090909,0.9545454545454546,4.727272727272728,1.2272727272727273,3.272727272727273,2.272727272727273,0.6356060606060606,0.2509259259259259,0,Jugadors equilibrats
2026576,2025,10,16.848333333333333,1.1,5.5,1.0,3.9,2.3,0.6188095238095238,0.2166666666666666,0,Jugadors equilibrats
1815956,2023-2024,18,28.157407407407405,1.8333333333333333,8.11111111111111,1.9444444444444444,7.333333333333333,4.888888888888889,0.5583842627960275,0.3072892793481028,1,Interiors físics
1514222,2024-2025,23,23.90869565217391,2.391304347826087,4.391304347826087,2.4347826086956523,3.0434782608695654,5.391304347826087,0.3333333333333333,0.2909075224292615,1,Interiors físics
2462345,2024-2025,10,28.468333333333334,2.3,3.5,2.1,10.3,4.1,0.3432556640889974,0.3268518518518518,1,Interiors físics
1246715,2023-2024,26,34.15064102564102,2.3076923076923075,10.346153846153848,2.4615384615384617,10.5,2.0384615384615383,0.6014970888839667,0.1939484126984127,1,Interiors físics
2149036,2023-2024,15,18.12222222222222,1.6666666666666667,1.4666666666666666,1.0666666666666669,2.8666666666666667,3.0,0.3022222222222222,0.3555555555555555,0,Jugadors equilibrats
1358580,2023-2024,23,16.31376811594203,0.4782608695652174,3.8260869565217392,0.7391304347826086,2.9565217391304346,0.0869565217391304,0.5703703703703703,0.0,0,Jugadors equilibrats
